lsoa_code,lsoa_name,value
E01000431,Bexley 008D,284125
E01000432,Bexley 008E,251756
E01000433,Bexley 008F,255028
E01000434,Bexley 008G,274667
E01000435,Bexley 010E,288474
E01000436,Bexley 011E,428731
E01000437,Bexley 007A,336115
E01000438,Bexley 007B,328500
E01000439,Bexley 007C,286667
E01000440,Bexley 007D,408889
E01000441,Bexley 007E,288854
E01000442,Bexley 006E,362923
E01000443,Bexley 024B,411472
E01000444,Bexley 023B,625320
E01000445,Bexley 024C,450174
E01000446,Bexley 024D,360204
E01000447,Bexley 023C,378906
E01000448,Bexley 023D,713864
E01000449,Bexley 023E,465703
E01000450,Bexley 009E,387735
E01000451,Bexley 009F,385139
E01000452,Bexley 009G,412139
E01000453,Bexley 013B,408655
E01000454,Bexley 013C,370262
E01000455,Bexley 013D,383432
E01000456,Bexley 013E,402969
E01000457,Bexley 026D,319092
E01000458,Bexley 027E,393341
E01000459,Bexley 027F,404939
E01000460,Bexley 022E,551267
E01000461,Bexley 024E,534964
E01000462,Bexley 026E,338436
E01000463,Bexley 025E,429356
E01000464,Bexley 002D,0
E01000465,Bexley 002E,0
E01000466,Bexley 001A,0
E01000467,Bexley 001B,256283
E01000468,Bexley 001C,263800
E01000469,Bexley 001D,239567
E01000470,Bexley 002F,212583
E01032566,Bexley 029D,304875
E01000471,Brent 026A,435385
E01000472,Brent 029A,294219
E01000473,Brent 029B,328800
E01000474,Brent 026B,0
E01000475,Brent 029C,426000
E01000476,Brent 026C,0
E01000477,Brent 026D,275522
E01000478,Brent 029D,424993
E01000479,Brent 009A,857143
E01000480,Brent 006A,756250
E01000481,Brent 009B,422517
E01000482,Brent 009C,434000
E01000483,Brent 009D,313813
E01000484,Brent 006B,0
E01000485,Brent 006C,436500
E01000486,Brent 006D,552085
E01000487,Brent 006E,518000
E01000488,Brent 022A,946500
E01000489,Brent 030A,878550
E01000490,Brent 023A,601983
E01000491,Brent 030B,1840703
E01000492,Brent 030C,1163268
E01000493,Brent 030D,1043381
E01000494,Brent 023B,799167
E01000495,Brent 023C,448125
E01000497,Brent 011A,442286
E01000498,Brent 010B,332500
E01000499,Brent 011B,404929
E01000501,Brent 011C,367929
E01000502,Brent 011D,554154
E01000503,Brent 011E,528222
E01000504,Brent 018A,757813
E01000505,Brent 018B,971473
E01000506,Brent 014A,0
E01000507,Brent 018C,865556
E01000508,Brent 025A,404309
E01000509,Brent 014B,558333
E01000510,Brent 014C,474571
E01000511,Brent 014D,563500
E01000512,Brent 018D,730938
E01000513,Brent 002A,504444
E01000514,Brent 002B,417222
E01000515,Brent 003A,335583
E01000516,Brent 002C,476000
E01000517,Brent 003B,683390
E01000518,Brent 005A,480795
E01000519,Brent 005B,463364
E01000520,Brent 002D,426383
E01000521,Brent 025B,387607
E01000522,Brent 025C,604000
E01000523,Brent 031A,637250
E01000524,Brent 031B,571900
E01000525,Brent 031C,525063
E01000526,Brent 025D,378400
E01000527,Brent 025E,403363
E01000528,Brent 025F,281143
E01000530,Brent 033A,931844
E01000531,Brent 033B,854833
E01000532,Brent 033C,744491
E01000533,Brent 031E,519591
E01000534,Brent 033D,844283
E01000535,Brent 031F,559353
E01000536,Brent 004A,640625
E01000538,Brent 004B,778143
E01000539,Brent 004C,357081
E01000540,Brent 004D,793000
E01000541,Brent 004E,455000
E01000543,Brent 003E,509611
E01000544,Brent 034A,601142
E01000545,Brent 028A,588667
E01000546,Brent 028B,726029
E01000547,Brent 028C,766157
E01000548,Brent 028D,562998
E01000549,Brent 028E,740721
E01000550,Brent 034B,486381
E01000551,Brent 034C,786917
E01000552,Brent 034D,632761
E01000553,Brent 015A,538967
E01000554,Brent 015B,477225
E01000555,Brent 015C,1067488
E01000556,Brent 015D,0
E01000557,Brent 015E,692469
E01000558,Brent 015F,1077722
E01000559,Brent 018E,656875
E01000560,Brent 023D,0
E01000561,Brent 023E,584778
E01000562,Brent 008A,787857
E01000563,Brent 008B,0
E01000564,Brent 013A,389333
E01000565,Brent 013B,0
E01000566,Brent 008C,609158
E01000567,Brent 016A,397882
E01000568,Brent 008D,652000
E01000569,Brent 008E,665000
E01000570,Brent 012A,0
E01000571,Brent 012B,638611
E01000572,Brent 007A,0
E01000573,Brent 007B,464981
E01000574,Brent 007C,459429
E01000575,Brent 007D,453025
E01000576,Brent 012C,385000
E01000577,Brent 007E,259875
E01000578,Brent 012D,421385
E01000579,Brent 032A,696045
E01000580,Brent 032B,1130875
E01000581,Brent 030E,1993571
E01000582,Brent 032C,1674481
E01000583,Brent 032D,885769
E01000584,Brent 033E,1055321
E01000585,Brent 033F,938529
E01000586,Brent 032E,555083
E01000587,Brent 001A,540200
E01000588,Brent 002E,325231
E01000589,Brent 001B,487222
E01000590,Brent 001C,435773
E01000591,Brent 003F,0
E01000592,Brent 001D,560301
E01000593,Brent 001E,452857
E01000594,Brent 001F,366500
E01000595,Brent 027A,410000
E01000596,Brent 021A,204120
E01000599,Brent 027D,333344
E01000600,Brent 027E,450590
E01000601,Brent 021B,0
E01000602,Brent 021C,0
E01000603,Brent 021D,262311
E01000604,Brent 021E,0
E01000605,Brent 021F,0
E01000606,Brent 016B,353875
E01000607,Brent 013C,440333
E01000608,Brent 013D,345206
E01000609,Brent 016C,336300
E01000610,Brent 019A,322900
E01000611,Brent 016D,411777
E01000612,Brent 019B,473571
E01000613,Brent 013E,283773
E01000615,Brent 017B,294535
E01000616,Brent 020A,515408
E01000617,Brent 017C,478000
E01000618,Brent 017D,481889
E01000619,Brent 017E,0
E01000620,Brent 020B,325495
E01000621,Brent 020C,366643
E01000622,Brent 010D,313192
E01000623,Brent 005C,493000
E01000624,Brent 005D,469402
E01000625,Brent 009E,395923
E01000626,Brent 010E,0
E01000627,Brent 014E,461000
E01000628,Brent 014F,517333
E01000629,Brent 005E,377167
E01000630,Brent 026E,290917
E01000631,Brent 019C,453857
E01000632,Brent 029E,375000
E01000633,Brent 019D,420600
E01000634,Brent 019E,344550
E01000635,Brent 020D,446357
E01000636,Brent 020E,401000
E01000637,Brent 022B,497727
E01000638,Brent 024A,344500
E01000639,Brent 022C,617875
E01000640,Brent 024B,369861
E01000641,Brent 024C,374428
E01000642,Brent 022D,407777
E01000643,Brent 024D,562715
E01000644,Brent 022E,478116
E01033424,Brent 017F,434886
E01033455,Brent 031G,0
E01033456,Brent 027F,463981
E01033457,Brent 017G,608875
E01033463,Brent 003G,541633
E01033464,Brent 010F,501045
E01033485,Brent 031H,489892
E01000645,Bromley 007A,865190
E01000646,Bromley 016A,529840
E01000647,Bromley 016B,485364
E01000648,Bromley 016C,567116
E01000649,Bromley 007B,747099
E01000650,Bromley 022A,949863
E01000651,Bromley 020A,559162
E01000652,Bromley 022B,667163
E01000653,Bromley 016D,1146944
E01000654,Bromley 039A,345597
E01000655,Bromley 039B,329703
E01000656,Bromley 039C,468703
E01000657,Bromley 039D,336109
E01000658,Bromley 042A,448632
E01000659,Bromley 039E,387833
E01000661,Bromley 026A,408400
E01000662,Bromley 026B,417452
E01000663,Bromley 026C,459385
E01000664,Bromley 026D,440438
E01000665,Bromley 033A,505131
E01000666,Bromley 033B,720078
E01000667,Bromley 033C,1303502
E01000668,Bromley 020B,365245
E01000669,Bromley 020C,442679
E01000670,Bromley 018A,765132
E01000671,Bromley 020D,356498
E01000672,Bromley 011A,459403
E01000673,Bromley 011B,564430
E01000674,Bromley 008A,367020
E01000675,Bromley 018B,372706
E01000676,Bromley 008B,335000
E01000677,Bromley 018C,497222
E01000678,Bromley 016E,495038
E01000679,Bromley 020E,423898
E01000680,Bromley 037A,757171
E01000681,Bromley 035A,431722
E01000682,Bromley 035B,425895
E01000683,Bromley 035C,393359
E01000684,Bromley 035D,524323
E01000685,Bromley 037B,464013
E01000686,Bromley 037C,553533
E01000687,Bromley 037D,466077
E01000688,Bromley 037E,706150
E01000689,Bromley 002A,515664
E01000690,Bromley 002B,511980
